Run: 1, epoch: 15, HR@5: 0.1338, HR@10: 0.1911, HR@15: 0.2484, HR@20: 0.2739, NDCG@5: 0.0981, NDCG@10: 0.1159, NDCG@15: 0.1313, NDCG@20: 0.1372, AUC: 0.6001, train loss: 0.1565, eval loss: 0.1411 
Run: 1, epoch: 16, HR@5: 0.1274, HR@10: 0.1975, HR@15: 0.2293, HR@20: 0.2930, NDCG@5: 0.0861, NDCG@10: 0.1086, NDCG@15: 0.1170, NDCG@20: 0.1320, AUC: 0.5808, train loss: 0.1447, eval loss: 0.1153 
Run: 1, epoch: 17, HR@5: 0.1083, HR@10: 0.1783, HR@15: 0.2548, HR@20: 0.3121, NDCG@5: 0.0733, NDCG@10: 0.0957, NDCG@15: 0.1165, NDCG@20: 0.1301, AUC: 0.5693, train loss: 0.1326, eval loss: 0.0983 
Run: 1, epoch: 18, HR@5: 0.1083, HR@10: 0.2102, HR@15: 0.2739, HR@20: 0.3185, NDCG@5: 0.0734, NDCG@10: 0.1068, NDCG@15: 0.1239, NDCG@20: 0.1343, AUC: 0.5695, train loss: 0.1207, eval loss: 0.0820 
Run: 1, epoch: 19, HR@5: 0.0955, HR@10: 0.1975, HR@15: 0.2484, HR@20: 0.2866, NDCG@5: 0.0658, NDCG@10: 0.0986, NDCG@15: 0.1123, NDCG@20: 0.1214, AUC: 0.5559, train loss: 0.1071, eval loss: 0.0779 
Run: 1, epoch: 20, HR@5: 0.1274, HR@10: 0.2038, HR@15: 0.2420, HR@20: 0.2866, NDCG@5: 0.0773, NDCG@10: 0.1016, NDCG@15: 0.1118, NDCG@20: 0.1224, AUC: 0.5577, train loss: 0.0932, eval loss: 0.0695 
Run: 1, epoch: 21, HR@5: 0.1210, HR@10: 0.2293, HR@15: 0.2484, HR@20: 0.3185, NDCG@5: 0.0750, NDCG@10: 0.1096, NDCG@15: 0.1144, NDCG@20: 0.1309, AUC: 0.5596, train loss: 0.0877, eval loss: 0.0659 
Run: 1, epoch: 22, HR@5: 0.1083, HR@10: 0.2229, HR@15: 0.2675, HR@20: 0.3376, NDCG@5: 0.0709, NDCG@10: 0.1101, NDCG@15: 0.1219, NDCG@20: 0.1383, AUC: 0.5606, train loss: 0.0763, eval loss: 0.0586 
Run: 1, epoch: 23, HR@5: 0.1274, HR@10: 0.2229, HR@15: 0.2739, HR@20: 0.3376, NDCG@5: 0.0843, NDCG@10: 0.1156, NDCG@15: 0.1292, NDCG@20: 0.1442, AUC: 0.5717, train loss: 0.0683, eval loss: 0.0542 
Run: 1, epoch: 24, HR@5: 0.1338, HR@10: 0.2229, HR@15: 0.3121, HR@20: 0.3376, NDCG@5: 0.0827, NDCG@10: 0.1120, NDCG@15: 0.1355, NDCG@20: 0.1415, AUC: 0.5727, train loss: 0.0600, eval loss: 0.0506 
Run: 1, epoch: 25, HR@5: 0.1401, HR@10: 0.2548, HR@15: 0.3121, HR@20: 0.3503, NDCG@5: 0.0869, NDCG@10: 0.1236, NDCG@15: 0.1384, NDCG@20: 0.1475, AUC: 0.5749, train loss: 0.0559, eval loss: 0.0470 
Run: 1, epoch: 26, HR@5: 0.1338, HR@10: 0.2484, HR@15: 0.3121, HR@20: 0.3439, NDCG@5: 0.0802, NDCG@10: 0.1179, NDCG@15: 0.1348, NDCG@20: 0.1423, AUC: 0.5776, train loss: 0.0513, eval loss: 0.0438 
Run: 1, epoch: 27, HR@5: 0.1592, HR@10: 0.2420, HR@15: 0.3057, HR@20: 0.3567, NDCG@5: 0.0941, NDCG@10: 0.1208, NDCG@15: 0.1379, NDCG@20: 0.1499, AUC: 0.5754, train loss: 0.0441, eval loss: 0.0386 
Run: 1, epoch: 28, HR@5: 0.1210, HR@10: 0.2611, HR@15: 0.3121, HR@20: 0.3694, NDCG@5: 0.0717, NDCG@10: 0.1172, NDCG@15: 0.1307, NDCG@20: 0.1443, AUC: 0.5797, train loss: 0.0408, eval loss: 0.0369 
Run: 1, epoch: 29, HR@5: 0.1592, HR@10: 0.2548, HR@15: 0.3248, HR@20: 0.3439, NDCG@5: 0.0906, NDCG@10: 0.1204, NDCG@15: 0.1389, NDCG@20: 0.1434, AUC: 0.5913, train loss: 0.0374, eval loss: 0.0343 
Run: 1, epoch: 30, HR@5: 0.1274, HR@10: 0.2675, HR@15: 0.3057, HR@20: 0.3631, NDCG@5: 0.0820, NDCG@10: 0.1270, NDCG@15: 0.1373, NDCG@20: 0.1507, AUC: 0.5871, train loss: 0.0326, eval loss: 0.0322 
Run: 1, Duration: 640.2923, HR@5: 0.1592, HR@10: 0.2675, HR@15: 0.3248, HR@20: 0.3694, NDCG@5: 0.1187, NDCG@10: 0.1270, NDCG@15: 0.1418, NDCG@20: 0.1695, AUC: 0.6623, train_loss: 0.0326, eval loss: 0.0322
Initial performance HR@5: 0.1783, HR@10: 0.1847, HR@15: 0.1975, HR@20: 0.2038, NDCG@5: 0.1233, NDCG@10: 0.1253, NDCG@15: 0.1288, NDCG@20: 0.1303, AUC: 0.4662, eval loss: 0.3121 
Run: 2, epoch: 1, HR@5: 0.1720, HR@10: 0.1847, HR@15: 0.1911, HR@20: 0.2038, NDCG@5: 0.1227, NDCG@10: 0.1270, NDCG@15: 0.1287, NDCG@20: 0.1317, AUC: 0.4616, train loss: 0.3155, eval loss: 0.3064 
Run: 2, epoch: 2, HR@5: 0.1847, HR@10: 0.1847, HR@15: 0.1911, HR@20: 0.1975, NDCG@5: 0.1430, NDCG@10: 0.1430, NDCG@15: 0.1448, NDCG@20: 0.1463, AUC: 0.4686, train loss: 0.3010, eval loss: 0.3000 
Run: 2, epoch: 3, HR@5: 0.1847, HR@10: 0.1911, HR@15: 0.1911, HR@20: 0.2166, NDCG@5: 0.1408, NDCG@10: 0.1429, NDCG@15: 0.1429, NDCG@20: 0.1487, AUC: 0.4653, train loss: 0.2879, eval loss: 0.2941 
Run: 2, epoch: 4, HR@5: 0.1847, HR@10: 0.1847, HR@15: 0.1911, HR@20: 0.1975, NDCG@5: 0.1346, NDCG@10: 0.1346, NDCG@15: 0.1363, NDCG@20: 0.1379, AUC: 0.4637, train loss: 0.2786, eval loss: 0.2906 
Run: 2, epoch: 5, HR@5: 0.1847, HR@10: 0.1847, HR@15: 0.1975, HR@20: 0.1975, NDCG@5: 0.1329, NDCG@10: 0.1329, NDCG@15: 0.1362, NDCG@20: 0.1362, AUC: 0.4609, train loss: 0.2667, eval loss: 0.2829 
Run: 2, epoch: 6, HR@5: 0.1847, HR@10: 0.1847, HR@15: 0.1911, HR@20: 0.2102, NDCG@5: 0.1319, NDCG@10: 0.1319, NDCG@15: 0.1336, NDCG@20: 0.1380, AUC: 0.4654, train loss: 0.2578, eval loss: 0.2755 
Run: 2, epoch: 7, HR@5: 0.1847, HR@10: 0.1847, HR@15: 0.1911, HR@20: 0.2166, NDCG@5: 0.1220, NDCG@10: 0.1220, NDCG@15: 0.1237, NDCG@20: 0.1297, AUC: 0.4679, train loss: 0.2477, eval loss: 0.2703 
Run: 2, epoch: 8, HR@5: 0.1783, HR@10: 0.1911, HR@15: 0.2038, HR@20: 0.2166, NDCG@5: 0.1250, NDCG@10: 0.1294, NDCG@15: 0.1327, NDCG@20: 0.1358, AUC: 0.4672, train loss: 0.2422, eval loss: 0.2637 
Run: 2, epoch: 9, HR@5: 0.1783, HR@10: 0.1911, HR@15: 0.1911, HR@20: 0.1975, NDCG@5: 0.1162, NDCG@10: 0.1206, NDCG@15: 0.1206, NDCG@20: 0.1221, AUC: 0.4616, train loss: 0.2268, eval loss: 0.2579 
Run: 2, epoch: 10, HR@5: 0.1847, HR@10: 0.1911, HR@15: 0.1911, HR@20: 0.2229, NDCG@5: 0.1324, NDCG@10: 0.1344, NDCG@15: 0.1344, NDCG@20: 0.1418, AUC: 0.4661, train loss: 0.2166, eval loss: 0.2450 
Run: 2, epoch: 11, HR@5: 0.1847, HR@10: 0.1911, HR@15: 0.1911, HR@20: 0.1911, NDCG@5: 0.1392, NDCG@10: 0.1412, NDCG@15: 0.1412, NDCG@20: 0.1412, AUC: 0.4719, train loss: 0.2087, eval loss: 0.2310 
Run: 2, epoch: 12, HR@5: 0.1847, HR@10: 0.1911, HR@15: 0.1975, HR@20: 0.2038, NDCG@5: 0.1232, NDCG@10: 0.1252, NDCG@15: 0.1268, NDCG@20: 0.1283, AUC: 0.4728, train loss: 0.1978, eval loss: 0.2132 
Run: 2, epoch: 13, HR@5: 0.1656, HR@10: 0.1847, HR@15: 0.2038, HR@20: 0.2102, NDCG@5: 0.1085, NDCG@10: 0.1151, NDCG@15: 0.1200, NDCG@20: 0.1215, AUC: 0.4855, train loss: 0.1830, eval loss: 0.1897 
Run: 2, epoch: 14, HR@5: 0.1401, HR@10: 0.1847, HR@15: 0.1911, HR@20: 0.2229, NDCG@5: 0.0882, NDCG@10: 0.1026, NDCG@15: 0.1043, NDCG@20: 0.1119, AUC: 0.4978, train loss: 0.1700, eval loss: 0.1612 
Run: 2, epoch: 15, HR@5: 0.1210, HR@10: 0.1592, HR@15: 0.2038, HR@20: 0.2357, NDCG@5: 0.0805, NDCG@10: 0.0924, NDCG@15: 0.1040, NDCG@20: 0.1115, AUC: 0.5105, train loss: 0.1576, eval loss: 0.1370 
Run: 2, epoch: 16, HR@5: 0.0892, HR@10: 0.1529, HR@15: 0.2038, HR@20: 0.2420, NDCG@5: 0.0727, NDCG@10: 0.0925, NDCG@15: 0.1061, NDCG@20: 0.1151, AUC: 0.5272, train loss: 0.1441, eval loss: 0.1143 
Run: 2, epoch: 17, HR@5: 0.0764, HR@10: 0.1592, HR@15: 0.1847, HR@20: 0.2357, NDCG@5: 0.0579, NDCG@10: 0.0844, NDCG@15: 0.0912, NDCG@20: 0.1033, AUC: 0.5346, train loss: 0.1324, eval loss: 0.0978 
Run: 2, epoch: 18, HR@5: 0.1019, HR@10: 0.1592, HR@15: 0.2102, HR@20: 0.2611, NDCG@5: 0.0634, NDCG@10: 0.0815, NDCG@15: 0.0952, NDCG@20: 0.1071, AUC: 0.5507, train loss: 0.1179, eval loss: 0.0847 
Run: 2, epoch: 19, HR@5: 0.1083, HR@10: 0.1656, HR@15: 0.1975, HR@20: 0.2803, NDCG@5: 0.0619, NDCG@10: 0.0806, NDCG@15: 0.0887, NDCG@20: 0.1082, AUC: 0.5583, train loss: 0.1041, eval loss: 0.0780 
Run: 2, epoch: 20, HR@5: 0.0955, HR@10: 0.1592, HR@15: 0.2293, HR@20: 0.2803, NDCG@5: 0.0555, NDCG@10: 0.0753, NDCG@15: 0.0940, NDCG@20: 0.1059, AUC: 0.5606, train loss: 0.0919, eval loss: 0.0711 
Run: 2, epoch: 21, HR@5: 0.1146, HR@10: 0.1656, HR@15: 0.2484, HR@20: 0.3057, NDCG@5: 0.0679, NDCG@10: 0.0839, NDCG@15: 0.1060, NDCG@20: 0.1194, AUC: 0.5677, train loss: 0.0807, eval loss: 0.0648 
