Run: 1, epoch: 22, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 23, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 24, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 25, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 26, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 27, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 28, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 29, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, epoch: 30, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 1, Duration: 2566.4574, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg_train_loss: nan, cf_train_loss: nan, cf_eval_loss: nan 
Run: 2, epoch: 1, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: 555.8979, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 2, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 3, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 4, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 5, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 6, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 7, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 8, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 9, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 10, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
Run: 2, epoch: 11, HR@5: 1.0000, HR@10: 1.0000, HR@15: 1.0000, HR@20: 1.0000, NDCG@5: 1.0000, NDCG@10: 1.0000, NDCG@15: 1.0000, NDCG@20: 1.0000, AUC: 0.0000, kg train loss: nan, cf train loss: nan, cf eval loss: nan 
